Model,Accuracy,Precision (weighted),Recall (weighted),F1-score (weighted)
Random Forest,0.8273260687342833,0.7351369673380228,0.8273260687342833,0.7679690488799932
Decision Tree,0.6965632858340318,0.7237559822235455,0.6965632858340318,0.7095990320400796
Logistic Regression,0.4379715004191115,0.757870228397337,0.4379715004191115,0.5316575794074411
